"site","species","latitude","longitude","month","monthnum","year","precipitation"
"RH","SA",51.591288,10.007933,"apr","04","1882",34
"HR","TE",51.594201,10.078726,"apr","04","1882",32
"HR","HB",51.594201,10.078726,"apr","04","1882",32
"KB","SA",51.541803,9.80909,"apr","04","1882",29
"KB","ES",51.541803,9.80909,"apr","04","1882",29
"KB","HB",51.541803,9.80909,"apr","04","1882",29
"LB","TE",51.978579,10.435671,"apr","04","1882",36
"LB","SA",51.979376,10.430706,"apr","04","1882",36
"LB","ES",51.979376,10.430706,"apr","04","1882",36
"LB","HB",52.021368,10.416407,"apr","04","1882",27
"HL","HB",51.404239,10.655329,"apr","04","1882",43
"HL","TE",51.404239,10.655329,"apr","04","1882",43
"HL","SA",51.404239,10.655329,"apr","04","1882",43
"HL","ES",51.404239,10.655329,"apr","04","1882",43
"HK","ES",51.883832,11.32081,"apr","04","1882",32
"HK","TE",51.883832,11.32081,"apr","04","1882",32
"HK","SA",51.883832,11.32081,"apr","04","1882",32
"HK","HB",51.883832,11.32081,"apr","04","1882",32
"HK","WL",51.883832,11.32081,"apr","04","1882",32
"ZR","ES",51.434345,11.532753,"apr","04","1882",31
"ZR","WL",51.434345,11.532753,"apr","04","1882",31
"ZR","TE",51.425929,11.519468,"apr","04","1882",33
"ZR","HB",51.425929,11.519468,"apr","04","1882",33
"GW","TE",51.190417,11.750763,"apr","04","1882",32
"GW","ES",51.190417,11.750763,"apr","04","1882",32
"GW","HB",51.190417,11.750763,"apr","04","1882",32
"GW","WL",51.190417,11.750763,"apr","04","1882",32
"HA","ES",51.500328,11.926774,"apr","04","1882",30
"HA","TE",51.487351,11.867109,"apr","04","1882",30
"HA","WL",51.487351,11.867109,"apr","04","1882",30
"HA","HB",51.500328,11.926774,"apr","04","1882",30
"HA","SA",51.491306,11.891522,"apr","04","1882",30
"RH","WL",51.599195,10.009212,"apr","04","1883",21
"RH","ES",51.591288,10.007933,"apr","04","1883",25
"RH","SA",51.591288,10.007933,"apr","04","1883",25
"HR","TE",51.594201,10.078726,"apr","04","1883",24
"HR","HB",51.594201,10.078726,"apr","04","1883",24
"KB","SA",51.541803,9.80909,"apr","04","1883",21
"KB","ES",51.541803,9.80909,"apr","04","1883",21
"KB","HB",51.541803,9.80909,"apr","04","1883",21
"LB","TE",51.978579,10.435671,"apr","04","1883",27
"LB","SA",51.979376,10.430706,"apr","04","1883",27
"LB","ES",51.979376,10.430706,"apr","04","1883",27
"LB","HB",52.021368,10.416407,"apr","04","1883",22
"HL","HB",51.404239,10.655329,"apr","04","1883",24
"HL","TE",51.404239,10.655329,"apr","04","1883",24
"HL","SA",51.404239,10.655329,"apr","04","1883",24
"HL","ES",51.404239,10.655329,"apr","04","1883",24
"HK","ES",51.883832,11.32081,"apr","04","1883",18
"HK","TE",51.883832,11.32081,"apr","04","1883",18
"HK","SA",51.883832,11.32081,"apr","04","1883",18
"HK","HB",51.883832,11.32081,"apr","04","1883",18
"HK","WL",51.883832,11.32081,"apr","04","1883",18
"ZR","ES",51.434345,11.532753,"apr","04","1883",16
"ZR","WL",51.434345,11.532753,"apr","04","1883",16
"ZR","TE",51.425929,11.519468,"apr","04","1883",16
"ZR","HB",51.425929,11.519468,"apr","04","1883",16
"GW","TE",51.190417,11.750763,"apr","04","1883",21
"GW","ES",51.190417,11.750763,"apr","04","1883",21
"GW","HB",51.190417,11.750763,"apr","04","1883",21
"GW","WL",51.190417,11.750763,"apr","04","1883",21
"HA","ES",51.500328,11.926774,"apr","04","1883",17
"HA","TE",51.487351,11.867109,"apr","04","1883",17
"HA","WL",51.487351,11.867109,"apr","04","1883",17
"HA","HB",51.500328,11.926774,"apr","04","1883",17
"HA","SA",51.491306,11.891522,"apr","04","1883",17
"RH","WL",51.599195,10.009212,"apr","04","1884",27
"RH","ES",51.591288,10.007933,"apr","04","1884",32
"RH","SA",51.591288,10.007933,"apr","04","1884",32
"HR","TE",51.594201,10.078726,"apr","04","1884",29
"HR","HB",51.594201,10.078726,"apr","04","1884",29
"KB","SA",51.541803,9.80909,"apr","04","1884",29
"KB","ES",51.541803,9.80909,"apr","04","1884",29
"KB","HB",51.541803,9.80909,"apr","04","1884",29
"LB","TE",51.978579,10.435671,"apr","04","1884",36
"LB","SA",51.979376,10.430706,"apr","04","1884",36
"LB","ES",51.979376,10.430706,"apr","04","1884",36
"LB","HB",52.021368,10.416407,"apr","04","1884",32
"HL","HB",51.404239,10.655329,"apr","04","1884",39
"HL","TE",51.404239,10.655329,"apr","04","1884",39
"HL","SA",51.404239,10.655329,"apr","04","1884",39
"HL","ES",51.404239,10.655329,"apr","04","1884",39
"HK","ES",51.883832,11.32081,"apr","04","1884",39
"HK","TE",51.883832,11.32081,"apr","04","1884",39
"HK","SA",51.883832,11.32081,"apr","04","1884",39
"HK","HB",51.883832,11.32081,"apr","04","1884",39
"HK","WL",51.883832,11.32081,"apr","04","1884",39
"ZR","ES",51.434345,11.532753,"apr","04","1884",38
"ZR","WL",51.434345,11.532753,"apr","04","1884",38
"ZR","TE",51.425929,11.519468,"apr","04","1884",40
"ZR","HB",51.425929,11.519468,"apr","04","1884",40
"GW","TE",51.190417,11.750763,"apr","04","1884",42
"GW","ES",51.190417,11.750763,"apr","04","1884",42
"GW","HB",51.190417,11.750763,"apr","04","1884",42
"GW","WL",51.190417,11.750763,"apr","04","1884",42
"HA","ES",51.500328,11.926774,"apr","04","1884",41
"HA","TE",51.487351,11.867109,"apr","04","1884",41
"HA","WL",51.487351,11.867109,"apr","04","1884",41
"HA","HB",51.500328,11.926774,"apr","04","1884",41
"HA","SA",51.491306,11.891522,"apr","04","1884",41
"RH","WL",51.599195,10.009212,"apr","04","1885",18
"RH","ES",51.591288,10.007933,"apr","04","1885",21
"RH","SA",51.591288,10.007933,"apr","04","1885",21
"HR","TE",51.594201,10.078726,"apr","04","1885",19
"HR","HB",51.594201,10.078726,"apr","04","1885",19
"KB","SA",51.541803,9.80909,"apr","04","1885",19
"KB","ES",51.541803,9.80909,"apr","04","1885",19
"KB","HB",51.541803,9.80909,"apr","04","1885",19
"LB","TE",51.978579,10.435671,"apr","04","1885",31
"LB","SA",51.979376,10.430706,"apr","04","1885",32
"LB","ES",51.979376,10.430706,"apr","04","1885",32
"LB","HB",52.021368,10.416407,"apr","04","1885",31
"HL","HB",51.404239,10.655329,"apr","04","1885",27
"HL","TE",51.404239,10.655329,"apr","04","1885",27
"HL","SA",51.404239,10.655329,"apr","04","1885",27
"HL","ES",51.404239,10.655329,"apr","04","1885",27
"HK","ES",51.883832,11.32081,"apr","04","1885",37
"HK","TE",51.883832,11.32081,"apr","04","1885",37
"HK","SA",51.883832,11.32081,"apr","04","1885",37
"HK","HB",51.883832,11.32081,"apr","04","1885",37
"HK","WL",51.883832,11.32081,"apr","04","1885",37
"ZR","ES",51.434345,11.532753,"apr","04","1885",24
"ZR","WL",51.434345,11.532753,"apr","04","1885",24
"ZR","TE",51.425929,11.519468,"apr","04","1885",25
"ZR","HB",51.425929,11.519468,"apr","04","1885",25
"GW","TE",51.190417,11.750763,"apr","04","1885",18
"GW","ES",51.190417,11.750763,"apr","04","1885",18
"GW","HB",51.190417,11.750763,"apr","04","1885",18
"GW","WL",51.190417,11.750763,"apr","04","1885",18
"HA","ES",51.500328,11.926774,"apr","04","1885",24
"HA","TE",51.487351,11.867109,"apr","04","1885",23
"HA","WL",51.487351,11.867109,"apr","04","1885",23
"HA","HB",51.500328,11.926774,"apr","04","1885",24
"HA","SA",51.491306,11.891522,"apr","04","1885",24
"RH","WL",51.599195,10.009212,"apr","04","1886",30
"RH","ES",51.591288,10.007933,"apr","04","1886",36
"RH","SA",51.591288,10.007933,"apr","04","1886",36
"HR","TE",51.594201,10.078726,"apr","04","1886",31
"HR","HB",51.594201,10.078726,"apr","04","1886",31
"KB","SA",51.541803,9.80909,"apr","04","1886",33
"KB","ES",51.541803,9.80909,"apr","04","1886",33
"KB","HB",51.541803,9.80909,"apr","04","1886",33
"LB","TE",51.978579,10.435671,"apr","04","1886",44
"LB","SA",51.979376,10.430706,"apr","04","1886",44
"LB","ES",51.979376,10.430706,"apr","04","1886",44
"LB","HB",52.021368,10.416407,"apr","04","1886",42
"HL","HB",51.404239,10.655329,"apr","04","1886",47
"HL","TE",51.404239,10.655329,"apr","04","1886",47
"HL","SA",51.404239,10.655329,"apr","04","1886",47
"HL","ES",51.404239,10.655329,"apr","04","1886",47
"HK","ES",51.883832,11.32081,"apr","04","1886",48
"HK","TE",51.883832,11.32081,"apr","04","1886",48
"HK","SA",51.883832,11.32081,"apr","04","1886",48
"HK","HB",51.883832,11.32081,"apr","04","1886",48
"HK","WL",51.883832,11.32081,"apr","04","1886",48
"ZR","ES",51.434345,11.532753,"apr","04","1886",43
"ZR","WL",51.434345,11.532753,"apr","04","1886",43
"ZR","TE",51.425929,11.519468,"apr","04","1886",44
"ZR","HB",51.425929,11.519468,"apr","04","1886",44
"GW","TE",51.190417,11.750763,"apr","04","1886",49
"GW","ES",51.190417,11.750763,"apr","04","1886",49
"GW","HB",51.190417,11.750763,"apr","04","1886",49
"GW","WL",51.190417,11.750763,"apr","04","1886",49
"HA","ES",51.500328,11.926774,"apr","04","1886",46
"HA","TE",51.487351,11.867109,"apr","04","1886",46
"HA","WL",51.487351,11.867109,"apr","04","1886",46
"HA","HB",51.500328,11.926774,"apr","04","1886",46
"HA","SA",51.491306,11.891522,"apr","04","1886",46
"RH","WL",51.599195,10.009212,"apr","04","1887",34
"RH","ES",51.591288,10.007933,"apr","04","1887",40
"RH","SA",51.591288,10.007933,"apr","04","1887",40
"HR","TE",51.594201,10.078726,"apr","04","1887",38
"HR","HB",51.594201,10.078726,"apr","04","1887",38
"KB","SA",51.541803,9.80909,"apr","04","1887",33
"KB","ES",51.541803,9.80909,"apr","04","1887",33
"KB","HB",51.541803,9.80909,"apr","04","1887",33
"LB","TE",51.978579,10.435671,"apr","04","1887",41
"LB","SA",51.979376,10.430706,"apr","04","1887",42
"LB","ES",51.979376,10.430706,"apr","04","1887",42
"LB","HB",52.021368,10.416407,"apr","04","1887",39
"HL","HB",51.404239,10.655329,"apr","04","1887",35
"HL","TE",51.404239,10.655329,"apr","04","1887",35
"HL","SA",51.404239,10.655329,"apr","04","1887",35
"HL","ES",51.404239,10.655329,"apr","04","1887",35
"HK","ES",51.883832,11.32081,"apr","04","1887",27
"HK","TE",51.883832,11.32081,"apr","04","1887",27
"HK","SA",51.883832,11.32081,"apr","04","1887",27
"HK","HB",51.883832,11.32081,"apr","04","1887",27
"HK","WL",51.883832,11.32081,"apr","04","1887",27
"ZR","ES",51.434345,11.532753,"apr","04","1887",23
"ZR","WL",51.434345,11.532753,"apr","04","1887",23
"ZR","TE",51.425929,11.519468,"apr","04","1887",23
"ZR","HB",51.425929,11.519468,"apr","04","1887",23
"GW","TE",51.190417,11.750763,"apr","04","1887",25
"GW","ES",51.190417,11.750763,"apr","04","1887",25
"GW","HB",51.190417,11.750763,"apr","04","1887",25
"GW","WL",51.190417,11.750763,"apr","04","1887",25
"HA","ES",51.500328,11.926774,"apr","04","1887",30
"HA","TE",51.487351,11.867109,"apr","04","1887",30
"HA","WL",51.487351,11.867109,"apr","04","1887",30
"HA","HB",51.500328,11.926774,"apr","04","1887",30
"HA","SA",51.491306,11.891522,"apr","04","1887",30
"RH","WL",51.599195,10.009212,"apr","04","1888",41
"RH","ES",51.591288,10.007933,"apr","04","1888",49
"RH","SA",51.591288,10.007933,"apr","04","1888",49
"HR","TE",51.594201,10.078726,"apr","04","1888",45
"HR","HB",51.594201,10.078726,"apr","04","1888",45
"KB","SA",51.541803,9.80909,"apr","04","1888",42
"KB","ES",51.541803,9.80909,"apr","04","1888",42
"KB","HB",51.541803,9.80909,"apr","04","1888",42
"LB","TE",51.978579,10.435671,"apr","04","1888",57
"LB","SA",51.979376,10.430706,"apr","04","1888",58
"LB","ES",51.979376,10.430706,"apr","04","1888",58
"LB","HB",52.021368,10.416407,"apr","04","1888",52
"HL","HB",51.404239,10.655329,"apr","04","1888",56
"HL","TE",51.404239,10.655329,"apr","04","1888",56
"HL","SA",51.404239,10.655329,"apr","04","1888",56
"HL","ES",51.404239,10.655329,"apr","04","1888",56
"HK","ES",51.883832,11.32081,"apr","04","1888",55
"HK","TE",51.883832,11.32081,"apr","04","1888",55
"HK","SA",51.883832,11.32081,"apr","04","1888",55
"HK","HB",51.883832,11.32081,"apr","04","1888",55
"HK","WL",51.883832,11.32081,"apr","04","1888",55
"ZR","ES",51.434345,11.532753,"apr","04","1888",47
"ZR","WL",51.434345,11.532753,"apr","04","1888",47
"ZR","TE",51.425929,11.519468,"apr","04","1888",48
"ZR","HB",51.425929,11.519468,"apr","04","1888",48
"GW","TE",51.190417,11.750763,"apr","04","1888",64
"GW","ES",51.190417,11.750763,"apr","04","1888",64
"GW","HB",51.190417,11.750763,"apr","04","1888",64
"GW","WL",51.190417,11.750763,"apr","04","1888",64
"HA","ES",51.500328,11.926774,"apr","04","1888",54
"HA","TE",51.487351,11.867109,"apr","04","1888",53
"HA","WL",51.487351,11.867109,"apr","04","1888",53
"HA","HB",51.500328,11.926774,"apr","04","1888",54
"HA","SA",51.491306,11.891522,"apr","04","1888",54
"RH","WL",51.599195,10.009212,"apr","04","1889",40
"RH","ES",51.591288,10.007933,"apr","04","1889",47
"RH","SA",51.591288,10.007933,"apr","04","1889",47
"HR","TE",51.594201,10.078726,"apr","04","1889",44
"HR","HB",51.594201,10.078726,"apr","04","1889",44
"KB","SA",51.541803,9.80909,"apr","04","1889",42
"KB","ES",51.541803,9.80909,"apr","04","1889",42
"KB","HB",51.541803,9.80909,"apr","04","1889",42
"LB","TE",51.978579,10.435671,"apr","04","1889",44
"LB","SA",51.979376,10.430706,"apr","04","1889",45
"LB","ES",51.979376,10.430706,"apr","04","1889",45
"LB","HB",52.021368,10.416407,"apr","04","1889",39
"HL","HB",51.404239,10.655329,"apr","04","1889",53
"HL","TE",51.404239,10.655329,"apr","04","1889",53
"HL","SA",51.404239,10.655329,"apr","04","1889",53
"HL","ES",51.404239,10.655329,"apr","04","1889",53
"HK","ES",51.883832,11.32081,"apr","04","1889",42
"HK","TE",51.883832,11.32081,"apr","04","1889",42
"HK","SA",51.883832,11.32081,"apr","04","1889",42
"HK","HB",51.883832,11.32081,"apr","04","1889",42
"HK","WL",51.883832,11.32081,"apr","04","1889",42
"ZR","ES",51.434345,11.532753,"apr","04","1889",50
"ZR","WL",51.434345,11.532753,"apr","04","1889",50
"ZR","TE",51.425929,11.519468,"apr","04","1889",51
"ZR","HB",51.425929,11.519468,"apr","04","1889",51
"GW","TE",51.190417,11.750763,"apr","04","1889",90
"GW","ES",51.190417,11.750763,"apr","04","1889",90
"GW","HB",51.190417,11.750763,"apr","04","1889",90
"GW","WL",51.190417,11.750763,"apr","04","1889",90
"HA","ES",51.500328,11.926774,"apr","04","1889",49
"HA","TE",51.487351,11.867109,"apr","04","1889",49
"HA","WL",51.487351,11.867109,"apr","04","1889",49
"HA","HB",51.500328,11.926774,"apr","04","1889",49
"HA","SA",51.491306,11.891522,"apr","04","1889",49
"RH","WL",51.599195,10.009212,"apr","04","1890",51
"RH","ES",51.591288,10.007933,"apr","04","1890",60
"RH","SA",51.591288,10.007933,"apr","04","1890",60
"HR","TE",51.594201,10.078726,"apr","04","1890",52
"HR","HB",51.594201,10.078726,"apr","04","1890",52
"KB","SA",51.541803,9.80909,"apr","04","1890",55
"KB","ES",51.541803,9.80909,"apr","04","1890",55
"KB","HB",51.541803,9.80909,"apr","04","1890",55
"LB","TE",51.978579,10.435671,"apr","04","1890",64
"LB","SA",51.979376,10.430706,"apr","04","1890",66
"LB","ES",51.979376,10.430706,"apr","04","1890",66
"LB","HB",52.021368,10.416407,"apr","04","1890",63
"HL","HB",51.404239,10.655329,"apr","04","1890",50
"HL","TE",51.404239,10.655329,"apr","04","1890",50
"HL","SA",51.404239,10.655329,"apr","04","1890",50
"HL","ES",51.404239,10.655329,"apr","04","1890",50
"HK","ES",51.883832,11.32081,"apr","04","1890",40
"HK","TE",51.883832,11.32081,"apr","04","1890",40
"HK","SA",51.883832,11.32081,"apr","04","1890",40
"HK","HB",51.883832,11.32081,"apr","04","1890",40
"HK","WL",51.883832,11.32081,"apr","04","1890",40
"ZR","ES",51.434345,11.532753,"apr","04","1890",27
"ZR","WL",51.434345,11.532753,"apr","04","1890",27
"ZR","TE",51.425929,11.519468,"apr","04","1890",29
"ZR","HB",51.425929,11.519468,"apr","04","1890",29
"GW","TE",51.190417,11.750763,"apr","04","1890",25
"GW","ES",51.190417,11.750763,"apr","04","1890",25
"GW","HB",51.190417,11.750763,"apr","04","1890",25
"GW","WL",51.190417,11.750763,"apr","04","1890",25
"HA","ES",51.500328,11.926774,"apr","04","1890",30
"HA","TE",51.487351,11.867109,"apr","04","1890",29
"HA","WL",51.487351,11.867109,"apr","04","1890",29
"HA","HB",51.500328,11.926774,"apr","04","1890",30
"HA","SA",51.491306,11.891522,"apr","04","1890",30
"RH","WL",51.599195,10.009212,"apr","04","1891",70
"RH","ES",51.591288,10.007933,"apr","04","1891",79
"RH","SA",51.591288,10.007933,"apr","04","1891",79
"HR","TE",51.594201,10.078726,"apr","04","1891",72
"HR","HB",51.594201,10.078726,"apr","04","1891",72
"KB","SA",51.541803,9.80909,"apr","04","1891",72
"KB","ES",51.541803,9.80909,"apr","04","1891",72
"KB","HB",51.541803,9.80909,"apr","04","1891",72
"LB","TE",51.978579,10.435671,"apr","04","1891",107
"LB","SA",51.979376,10.430706,"apr","04","1891",107
"LB","ES",51.979376,10.430706,"apr","04","1891",107
"LB","HB",52.021368,10.416407,"apr","04","1891",96
"HL","HB",51.404239,10.655329,"apr","04","1891",88
"HL","TE",51.404239,10.655329,"apr","04","1891",88
"HL","SA",51.404239,10.655329,"apr","04","1891",88
"HL","ES",51.404239,10.655329,"apr","04","1891",88
"HK","ES",51.883832,11.32081,"apr","04","1891",87
"HK","TE",51.883832,11.32081,"apr","04","1891",87
"HK","SA",51.883832,11.32081,"apr","04","1891",87
"HK","HB",51.883832,11.32081,"apr","04","1891",87
"HK","WL",51.883832,11.32081,"apr","04","1891",87
"ZR","ES",51.434345,11.532753,"apr","04","1891",80
"ZR","WL",51.434345,11.532753,"apr","04","1891",80
"ZR","TE",51.425929,11.519468,"apr","04","1891",76
"ZR","HB",51.425929,11.519468,"apr","04","1891",76
"GW","TE",51.190417,11.750763,"apr","04","1891",61
"GW","ES",51.190417,11.750763,"apr","04","1891",61
"GW","HB",51.190417,11.750763,"apr","04","1891",61
"GW","WL",51.190417,11.750763,"apr","04","1891",61
"HA","ES",51.500328,11.926774,"apr","04","1891",56
"HA","TE",51.487351,11.867109,"apr","04","1891",58
"HA","WL",51.487351,11.867109,"apr","04","1891",58
"HA","HB",51.500328,11.926774,"apr","04","1891",56
"HA","SA",51.491306,11.891522,"apr","04","1891",57
"RH","WL",51.599195,10.009212,"apr","04","1892",25
"RH","ES",51.591288,10.007933,"apr","04","1892",36
"RH","SA",51.591288,10.007933,"apr","04","1892",36
"HR","TE",51.594201,10.078726,"apr","04","1892",31
"HR","HB",51.594201,10.078726,"apr","04","1892",31
"KB","SA",51.541803,9.80909,"apr","04","1892",24
"KB","ES",51.541803,9.80909,"apr","04","1892",24
"KB","HB",51.541803,9.80909,"apr","04","1892",24
"LB","TE",51.978579,10.435671,"apr","04","1892",22
"LB","SA",51.979376,10.430706,"apr","04","1892",22
"LB","ES",51.979376,10.430706,"apr","04","1892",22
"LB","HB",52.021368,10.416407,"apr","04","1892",11
"HL","HB",51.404239,10.655329,"apr","04","1892",30
"HL","TE",51.404239,10.655329,"apr","04","1892",30
"HL","SA",51.404239,10.655329,"apr","04","1892",30
"HL","ES",51.404239,10.655329,"apr","04","1892",30
"HK","ES",51.883832,11.32081,"apr","04","1892",14
"HK","TE",51.883832,11.32081,"apr","04","1892",14
"HK","SA",51.883832,11.32081,"apr","04","1892",14
"HK","HB",51.883832,11.32081,"apr","04","1892",14
"HK","WL",51.883832,11.32081,"apr","04","1892",14
"ZR","ES",51.434345,11.532753,"apr","04","1892",14
"ZR","WL",51.434345,11.532753,"apr","04","1892",14
"ZR","TE",51.425929,11.519468,"apr","04","1892",14
"ZR","HB",51.425929,11.519468,"apr","04","1892",14
"GW","TE",51.190417,11.750763,"apr","04","1892",11
"GW","ES",51.190417,11.750763,"apr","04","1892",11
"GW","HB",51.190417,11.750763,"apr","04","1892",11
"GW","WL",51.190417,11.750763,"apr","04","1892",11
"HA","ES",51.500328,11.926774,"apr","04","1892",8
"HA","TE",51.487351,11.867109,"apr","04","1892",9
"HA","WL",51.487351,11.867109,"apr","04","1892",9
"HA","HB",51.500328,11.926774,"apr","04","1892",8
"HA","SA",51.491306,11.891522,"apr","04","1892",9
"RH","WL",51.599195,10.009212,"apr","04","1893",5
"RH","ES",51.591288,10.007933,"apr","04","1893",15
"RH","SA",51.591288,10.007933,"apr","04","1893",15
"HR","TE",51.594201,10.078726,"apr","04","1893",7
"HR","HB",51.594201,10.078726,"apr","04","1893",7
"KB","SA",51.541803,9.80909,"apr","04","1893",6
"KB","ES",51.541803,9.80909,"apr","04","1893",6
"KB","HB",51.541803,9.80909,"apr","04","1893",6
"LB","TE",51.978579,10.435671,"apr","04","1893",4
"LB","SA",51.979376,10.430706,"apr","04","1893",4
"LB","ES",51.979376,10.430706,"apr","04","1893",4
"LB","HB",52.021368,10.416407,"apr","04","1893",0
"HL","HB",51.404239,10.655329,"apr","04","1893",15
"HL","TE",51.404239,10.655329,"apr","04","1893",15
"HL","SA",51.404239,10.655329,"apr","04","1893",15
"HL","ES",51.404239,10.655329,"apr","04","1893",15
"HK","ES",51.883832,11.32081,"apr","04","1893",5
"HK","TE",51.883832,11.32081,"apr","04","1893",5
"HK","SA",51.883832,11.32081,"apr","04","1893",5
"HK","HB",51.883832,11.32081,"apr","04","1893",5
"HK","WL",51.883832,11.32081,"apr","04","1893",5
"ZR","ES",51.434345,11.532753,"apr","04","1893",5
"ZR","WL",51.434345,11.532753,"apr","04","1893",5
"ZR","TE",51.425929,11.519468,"apr","04","1893",5
"ZR","HB",51.425929,11.519468,"apr","04","1893",5
"GW","TE",51.190417,11.750763,"apr","04","1893",10
"GW","ES",51.190417,11.750763,"apr","04","1893",10
"GW","HB",51.190417,11.750763,"apr","04","1893",10
"GW","WL",51.190417,11.750763,"apr","04","1893",10
"HA","ES",51.500328,11.926774,"apr","04","1893",3
"HA","TE",51.487351,11.867109,"apr","04","1893",2
"HA","WL",51.487351,11.867109,"apr","04","1893",2
"HA","HB",51.500328,11.926774,"apr","04","1893",3
"HA","SA",51.491306,11.891522,"apr","04","1893",2
"RH","WL",51.599195,10.009212,"apr","04","1894",16
"RH","ES",51.591288,10.007933,"apr","04","1894",26
"RH","SA",51.591288,10.007933,"apr","04","1894",26
"HR","TE",51.594201,10.078726,"apr","04","1894",15
"HR","HB",51.594201,10.078726,"apr","04","1894",15
"KB","SA",51.541803,9.80909,"apr","04","1894",20
"KB","ES",51.541803,9.80909,"apr","04","1894",20
"KB","HB",51.541803,9.80909,"apr","04","1894",20
"LB","TE",51.978579,10.435671,"apr","04","1894",9
"LB","SA",51.979376,10.430706,"apr","04","1894",10
"LB","ES",51.979376,10.430706,"apr","04","1894",10
"LB","HB",52.021368,10.416407,"apr","04","1894",0
"HL","HB",51.404239,10.655329,"apr","04","1894",28
"HL","TE",51.404239,10.655329,"apr","04","1894",28
"HL","SA",51.404239,10.655329,"apr","04","1894",28
"HL","ES",51.404239,10.655329,"apr","04","1894",28
"HK","ES",51.883832,11.32081,"apr","04","1894",16
"HK","TE",51.883832,11.32081,"apr","04","1894",16
"HK","SA",51.883832,11.32081,"apr","04","1894",16
"HK","HB",51.883832,11.32081,"apr","04","1894",16
"HK","WL",51.883832,11.32081,"apr","04","1894",16
"ZR","ES",51.434345,11.532753,"apr","04","1894",15
"ZR","WL",51.434345,11.532753,"apr","04","1894",15
"ZR","TE",51.425929,11.519468,"apr","04","1894",16
"ZR","HB",51.425929,11.519468,"apr","04","1894",16
"GW","TE",51.190417,11.750763,"apr","04","1894",31
"GW","ES",51.190417,11.750763,"apr","04","1894",31
"GW","HB",51.190417,11.750763,"apr","04","1894",31
"GW","WL",51.190417,11.750763,"apr","04","1894",31
"HA","ES",51.500328,11.926774,"apr","04","1894",26
"HA","TE",51.487351,11.867109,"apr","04","1894",26
"HA","WL",51.487351,11.867109,"apr","04","1894",26
"HA","HB",51.500328,11.926774,"apr","04","1894",26
"HA","SA",51.491306,11.891522,"apr","04","1894",26
"RH","WL",51.599195,10.009212,"apr","04","1895",48
"RH","ES",51.591288,10.007933,"apr","04","1895",58
"RH","SA",51.591288,10.007933,"apr","04","1895",58
"HR","TE",51.594201,10.078726,"apr","04","1895",48
"HR","HB",51.594201,10.078726,"apr","04","1895",48
"KB","SA",51.541803,9.80909,"apr","04","1895",55
"KB","ES",51.541803,9.80909,"apr","04","1895",55
"KB","HB",51.541803,9.80909,"apr","04","1895",55
"LB","TE",51.978579,10.435671,"apr","04","1895",39
"LB","SA",51.979376,10.430706,"apr","04","1895",37
"LB","ES",51.979376,10.430706,"apr","04","1895",37
"LB","HB",52.021368,10.416407,"apr","04","1895",22
"HL","HB",51.404239,10.655329,"apr","04","1895",55
"HL","TE",51.404239,10.655329,"apr","04","1895",55
"HL","SA",51.404239,10.655329,"apr","04","1895",55
"HL","ES",51.404239,10.655329,"apr","04","1895",55
"HK","ES",51.883832,11.32081,"apr","04","1895",26
"HK","TE",51.883832,11.32081,"apr","04","1895",26
"HK","SA",51.883832,11.32081,"apr","04","1895",26
"HK","HB",51.883832,11.32081,"apr","04","1895",26
